bytes,content-type,elapsed,endpoint,resource,status,entry-date,start-date,end-date
28992559,application/zip,3.077,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,ebf9e1df4e638a318b6d79335c27c896c77dfcf3c2592cdb75d419f3d50362f2,200,2021-05-28T13:08:14.075922,,
28994049,application/zip,3.47,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,d9a44a4c68c0014b510ae66fadadc79144903a35cabacd05aacd4cd7ab76eed3,200,2021-06-01T02:47:03.636735,,
28994049,application/zip,5.48,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,d9a44a4c68c0014b510ae66fadadc79144903a35cabacd05aacd4cd7ab76eed3,200,2021-06-02T15:37:11.261133,,
85,text/plain; charset=utf-8,0.196,d7a3030ffdf1c6f70cffdc0230928df129362c4b0c2d8b32e3bef22910e3f3f7,474c4417dafdaa069449bb62980202f8b83ebeaa5eea2c6e689bed214ffcd2e9,200,2021-06-02T17:21:21.812522,,
28994049,application/zip,3.857,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,d9a44a4c68c0014b510ae66fadadc79144903a35cabacd05aacd4cd7ab76eed3,200,2021-06-10T11:28:44.530692,,
85,text/plain; charset=utf-8,0.134,d7a3030ffdf1c6f70cffdc0230928df129362c4b0c2d8b32e3bef22910e3f3f7,474c4417dafdaa069449bb62980202f8b83ebeaa5eea2c6e689bed214ffcd2e9,200,2021-06-10T11:28:44.530692,,
29000406,application/zip,3.771,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,8e9203bc60c1d387cc6e0e490bbb4c94f030e8a303c9d160a8c4fdbf30e9c1d2,200,2021-06-30T11:10:24.040388,,
85,text/plain; charset=utf-8,0.112,d7a3030ffdf1c6f70cffdc0230928df129362c4b0c2d8b32e3bef22910e3f3f7,474c4417dafdaa069449bb62980202f8b83ebeaa5eea2c6e689bed214ffcd2e9,200,2021-06-30T11:10:24.040388,,
29000406,application/zip,3.686,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,8e9203bc60c1d387cc6e0e490bbb4c94f030e8a303c9d160a8c4fdbf30e9c1d2,200,2021-07-01T00:36:47.684964,,
85,text/plain; charset=utf-8,0.108,d7a3030ffdf1c6f70cffdc0230928df129362c4b0c2d8b32e3bef22910e3f3f7,474c4417dafdaa069449bb62980202f8b83ebeaa5eea2c6e689bed214ffcd2e9,200,2021-07-01T00:36:47.684964,,
29008055,application/zip,6.964,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,1694666a7c7c606facc6c48aa71f46304ce0ff3c209d284ccee874b3d9f65930,200,2021-08-01T01:07:52.151283,,
